fighter_id,name,wins,losses,draws,height_inches,weight_lbs,reach_inches,is_orthodox,age_years,strikes_landed_per_minute,strikes_accuracy_percent,strikes_absorbed_per_minute,strikes_defended_percent,mean_takedowns_per_15_minutes,takedowns_accuracy_percent,takedowns_defended_percent,mean_submissions_attempted_per_15_minutes
85248da6e9e2f7e7,jamie yager,8,4,0,73.0,185.0,,1.0,39.01917808219178,3.08,0.39,2.55,0.63,0.0,0.0,0.66,0.0
a8fa0c4e95512806,phil johns,30,14,1,62.0,170.0,,0.0,54.131506849315066,1.2,0.66,1.8,0.5,0.0,0.0,0.5,0.0
e0ec3c3b6b611f7e,hermes franca,24,17,0,66.0,155.0,71.0,1.0,48.28493150684932,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
1a54231796e24a3f,liudvik sholinian,9,4,1,70.0,135.0,71.0,1.0,32.87123287671233,2.5,0.3,5.67,0.55,0.0,0.0,0.66,0.0
f1b2aa7853d1ed6e,kamaru usman,20,2,0,72.0,170.0,76.0,0.0,35.56986301369863,4.55,0.53,2.56,0.57,3.01,0.48,0.97,0.1
150ff4cc642270b9,max holloway,23,7,0,71.0,145.0,69.0,1.0,31.0,7.24,0.47,4.89,0.59,0.29,0.53,0.84,0.3
bf0e700106d00e55,austin arnett,16,6,0,72.0,145.0,72.0,1.0,31.117808219178084,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
a6cba6bb66c1a8c9,danny roberts,18,7,0,73.0,170.0,74.0,0.0,35.394520547945206,3.08,0.4,3.5,0.51,0.26,0.1,0.57,0.3
8b260672a21d1fd6,john cofer,8,4,0,69.0,155.0,,0.0,38.602739726027394,2.73,0.41,3.43,0.62,1.22,0.5,0.64,0.0
aae99701b21554e4,ryan jensen,21,8,0,73.0,185.0,76.0,1.0,45.21369863013699,2.84,0.39,2.99,0.59,1.55,0.5,0.31,1.9
2a542ee8a8b83559,tim sylvia,31,10,0,80.0,265.0,80.0,1.0,46.75890410958904,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1
009c4420727149ea,aj dobson,6,2,0,73.0,185.0,76.0,1.0,30.876712328767123,4.34,0.46,6.0,0.47,1.75,0.8,0.64,0.4
a566371ba2ad7152,josh thomson,22,9,0,70.0,155.0,71.0,1.0,44.21095890410959,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3
49f4b511932f71e9,david michaud,11,3,0,69.0,155.0,,1.0,34.06575342465754,3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7
f748267c4ab6c127,rhys mckee,10,4,1,74.0,170.0,78.0,1.0,27.23013698630137,6.83,0.53,11.9,0.43,0.0,0.0,0.2,0.0
cc1a8b4b38b92c6d,montel jackson,12,2,0,70.0,135.0,75.0,0.0,30.610958904109587,3.39,0.54,1.4,0.63,3.54,0.71,0.67,0.3
acd9513399a8b09b,ednaldo oliveira,17,3,1,77.0,205.0,,1.0,38.794520547945204,1.03,0.22,1.8,0.52,0.0,0.0,0.42,0.0
7c9f96f9a6a5cd50,brok weaver,15,6,0,72.0,155.0,73.0,0.0,30.997260273972604,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4
579fcdfcabd23a7b,brian stann,12,6,0,73.0,205.0,74.0,1.0,42.2,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3
cbb682f5fcc44bfc,anthony pettis,24,10,0,70.0,155.0,72.0,1.0,35.85479452054795,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1
4f11e9ce318ffbcb,anthony christodoulou,12,7,0,69.0,155.0,,1.0,35.35068493150685,2.19,0.26,5.9,0.45,0.0,0.0,0.4,0.0
5330fe7e4c3af81c,floyd sword,12,3,0,72.0,185.0,,1.0,46.28767123287671,0.78,0.42,1.57,0.4,0.0,0.0,0.33,0.0
ca43de99b07b6b40,josh fremd,9,4,0,76.0,185.0,76.0,1.0,28.882191780821916,2.64,0.5,2.79,0.36,0.72,0.5,0.26,0.7
1ffc38f67785797b,lowell anderson,0,1,0,66.0,160.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8022d5526b1d937,chad reiner,33,18,0,71.0,170.0,,1.0,41.43835616438356,0.53,0.2,1.97,0.46,0.99,0.33,0.25,2.0
99dd0147dc4ef80c,genki sudo,15,4,2,69.0,155.0,,1.0,44.75068493150685,1.55,0.39,2.23,0.33,3.58,0.6,0.5,4.2
d7b2c0b53883ee80,kyle watson,13,8,1,72.0,155.0,,0.0,43.32876712328767,3.67,0.35,3.25,0.62,0.0,0.0,1.0,0.0
c5af5750e8bae4f0,kyle bochniak,8,5,0,67.0,145.0,70.0,1.0,35.83013698630137,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0
68f6e96c5fa6e044,jeremy kennedy,11,1,0,71.0,145.0,71.0,1.0,30.213698630136985,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0.0
016a8d958883167c,gina mazany,7,6,0,66.0,125.0,68.0,0.0,34.293150684931504,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2
9e50097a89442158,mickey gall,7,5,0,74.0,170.0,74.0,0.0,30.865753424657534,2.94,0.46,4.25,0.49,1.21,0.3,0.36,1.9
a1b0715c4fd2dbd3,azamat gashimov,8,3,0,66.0,125.0,,1.0,32.66027397260274,1.24,0.21,4.75,0.53,1.69,0.25,0.0,0.0
09c44b317c98bf96,david velasquez,10,10,0,65.0,145.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93892752c5fc23ca,jerry bohlander,11,4,0,71.0,199.0,,1.0,48.81917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2b68d9f125d07b42,jared vanderaa,12,10,0,76.0,265.0,80.0,1.0,30.561643835616437,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0.0
837d30395faca41e,sheila gaff,9,7,0,65.0,135.0,,1.0,32.93150684931507,1.6,0.5,2.89,0.28,0.0,0.0,0.2,0.0
c9a94278df042f46,alan baudot,8,4,0,75.0,243.0,79.0,1.0,34.84109589041096,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0
da7f113b5ea39c43,mohammed usman,9,2,0,74.0,239.0,79.0,1.0,33.676712328767124,2.14,0.3,5.71,0.36,0.0,0.0,0.0,0.0
e4770d5ed44a3970,brian gassaway,29,20,2,73.0,170.0,,1.0,50.33698630136986,0.34,0.26,3.65,0.44,0.0,0.0,0.42,0.0
fe5a9547479396ab,jim alers,13,3,0,69.0,145.0,71.0,1.0,36.14246575342466,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3
99bd87a300079ed9,erik koch,16,6,0,70.0,170.0,71.0,0.0,34.16712328767123,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0
706404da0775dcbc,hugo duarte,6,3,0,72.0,240.0,,1.0,54.33424657534247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a46b268013afede,kevin holland,23,8,0,75.0,170.0,81.0,1.0,30.076712328767123,3.85,0.54,2.38,0.55,0.83,0.43,0.5,0.6
05560764359161e4,constantinos philippou,13,5,0,71.0,185.0,73.0,1.0,43.02191780821918,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3
0ff11cc094e887bc,cain velasquez,14,3,0,73.0,240.0,77.0,1.0,40.35890410958904,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4
