fight_id,datetime,label,is_draw,red_id,red_kd,red_ss,red_ss_attempted,red_total,red_total_attempted,red_td,red_td_attempted,red_sub_attempted,red_control_min,red_control_sec,red_ss_head,red_ss_head_attempted,red_ss_body,red_ss_body_attempted,red_ss_leg,red_ss_leg_attempted,red_ss_distance,red_ss_distance_attempted,red_ss_clinch,red_ss_clinch_attempted,red_ss_ground,red_ss_ground_attempted,blue_id,blue_kd,blue_ss,blue_ss_attempted,blue_total,blue_total_attempted,blue_td,blue_td_attempted,blue_sub_attempted,blue_control_min,blue_control_sec,blue_ss_head,blue_ss_head_attempted,blue_ss_body,blue_ss_body_attempted,blue_ss_leg,blue_ss_leg_attempted,blue_ss_distance,blue_ss_distance_attempted,blue_ss_clinch,blue_ss_clinch_attempted,blue_ss_ground,blue_ss_ground_attempted
43496ff308e681a0,1567832400,0,0,49858bf46dabf6fb,0,6,26,6.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,5,3.0,5,6,25,0.0,0.0,0.0,1.0,447f9858ae78f921,1.0,10.0,23.0,10.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,2.0,6.0,7.0,7.0,10.0,23.0,0.0,0.0,0.0,0.0
bd5edc0bfa0db8c8,1211605200,1,0,f7a7f7118d4b01b6,1,41,60,67.0,87.0,1.0,1.0,0.0,2.0,55.0,18.0,34.0,6.0,7,17.0,19,34,47,1.0,1.0,6.0,12.0,2f732dd9210d301f,0.0,16.0,53.0,39.0,76.0,0.0,7.0,2.0,0.0,19.0,2.0,35.0,11.0,11.0,3.0,7.0,5.0,38.0,11.0,15.0,0.0,0.0
8e51f8648840eb38,1155790800,1,0,d512d9f204059f57,0,1,4,1.0,4.0,1.0,1.0,1.0,0.0,37.0,1.0,4.0,0.0,0,0.0,0,1,4,0.0,0.0,0.0,0.0,c4b9296214f4c09c,0.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10b31e991c2d0d4e,1564203600,1,0,2c9d00968f818270,1,80,154,89.0,166.0,0.0,0.0,0.0,1.0,19.0,42.0,95.0,27.0,44,11.0,15,38,99,42.0,55.0,0.0,0.0,3fa7688bfe48a493,0.0,39.0,79.0,41.0,81.0,0.0,1.0,0.0,0.0,2.0,24.0,62.0,7.0,8.0,8.0,9.0,35.0,68.0,4.0,11.0,0.0,0.0
5c8d9d893d163d51,1596862800,1,0,06a80a685ea98573,0,36,73,45.0,82.0,2.0,5.0,0.0,1.0,2.0,30.0,61.0,5.0,10,1.0,2,28,62,5.0,8.0,3.0,3.0,e87a13e02c01331d,0.0,44.0,105.0,54.0,118.0,2.0,9.0,1.0,1.0,55.0,28.0,86.0,7.0,9.0,9.0,10.0,36.0,96.0,8.0,9.0,0.0,0.0
66a99e85803efd92,1377925200,0,0,a01e84abefd85ec0,0,21,59,21.0,59.0,0.0,1.0,0.0,0.0,0.0,13.0,50.0,1.0,1,7.0,8,21,59,0.0,0.0,0.0,0.0,203c957eac95dd87,2.0,26.0,75.0,26.0,75.0,1.0,1.0,0.0,0.0,13.0,24.0,71.0,2.0,3.0,0.0,1.0,15.0,62.0,3.0,3.0,8.0,10.0
904cf687d22bb486,1665810000,1,0,e8b731feff72294b,0,153,311,193.0,353.0,0.0,0.0,0.0,0.0,0.0,101.0,243.0,33.0,45,19.0,23,143,298,9.0,12.0,1.0,1.0,36541f1e6c5d4955,0.0,126.0,264.0,148.0,288.0,2.0,10.0,0.0,3.0,29.0,103.0,235.0,17.0,22.0,6.0,7.0,124.0,261.0,0.0,1.0,2.0,2.0
12c600dc64edb403,1428123600,1,0,029eaff01e6bb8f0,2,24,50,29.0,56.0,0.0,0.0,0.0,0.0,46.0,20.0,45.0,1.0,2,3.0,3,20,41,1.0,2.0,3.0,7.0,f53d4f21d1b5f2dc,0.0,20.0,56.0,20.0,56.0,0.0,2.0,0.0,0.0,58.0,12.0,46.0,5.0,7.0,3.0,3.0,16.0,52.0,4.0,4.0,0.0,0.0
4d3cd5ecf4276c92,1421560800,0,0,7b39035fae7268b8,0,100,212,115.0,227.0,0.0,0.0,0.0,0.0,26.0,54.0,155.0,41.0,51,5.0,6,72,175,28.0,37.0,0.0,0.0,cb52f9490c2dc069,1.0,66.0,141.0,109.0,187.0,0.0,2.0,0.0,3.0,29.0,44.0,113.0,19.0,22.0,3.0,6.0,40.0,110.0,25.0,29.0,1.0,2.0
6cd44e1b2d093ea4,1623474000,1,0,1338e2c7480bdf9e,0,96,181,122.0,208.0,0.0,0.0,0.0,0.0,36.0,44.0,118.0,11.0,20,41.0,43,85,168,10.0,11.0,1.0,2.0,7acbb0972e75281a,0.0,58.0,176.0,91.0,211.0,4.0,14.0,0.0,6.0,55.0,42.0,158.0,7.0,8.0,9.0,10.0,58.0,176.0,0.0,0.0,0.0,0.0
